company_id,company_name,ticker,country,region,sector,industry,reporting_year,scope1_mt_co2e,scope2_location_mt_co2e,scope2_market_mt_co2e,scope3_total_mt_co2e,scope1_plus_scope2_location_mt,emissions_intensity_mt_per_musd,revenue_usd_millions,reporting_standard,data_source,third_party_verified,net_zero_target_year,notes,data_collection_date
GHG0001,Sasol,SOL,South Africa,Africa,Materials,Chemicals,2022,47.3,2.1,,,49.4,0.008386,5891.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,Coal-to-liquid fuel — very high Scope 1,2024-01-01 to 2025-12-31
GHG0002,Eskom,—,South Africa,Africa,Utilities,Electric Power,2022,195.0,,,,195.0,,,GHG Protocol (ZA),SouthAfricaGHGInv_2023,False,,State-owned; coal dominant; financial distress,2024-01-01 to 2025-12-31
GHG0003,Woodside Energy,WDS,Australia,Asia-Pacific,Energy,E&P (LNG),2022,7.1,0.5,,,7.6,0.000452,16816.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0004,Santos,STO,Australia,Asia-Pacific,Energy,E&P,2022,6.3,0.4,,,6.7,0.000923,7259.0,GHG Protocol,NGER_2023/CDP_2023,True,2040.0,,2024-01-01 to 2025-12-31
GHG0005,BHP,BHP,Australia,Asia-Pacific,Materials,Mining,2022,14.9,3.4,,,18.3,0.000281,65098.0,GHG Protocol,CDP_2023/SustainabilityReport_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0006,South32,S32,Australia,Asia-Pacific,Materials,Mining,2022,14.2,2.3,,,16.5,0.001741,9476.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0007,BlueScope Steel,BSL,Australia,Asia-Pacific,Materials,Steel,2022,5.9,1.2,,,7.1000000000000005,0.000553,12834.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,,2024-01-01 to 2025-12-31
GHG0008,Fortescue Metals Group,FMG,Australia,Asia-Pacific,Materials,Mining,2022,2.5,1.8,,,4.3,0.000247,17395.0,GHG Protocol,NGER_2023/CDP_2023,True,2030.0,,2024-01-01 to 2025-12-31
GHG0009,Evolution Mining,EVN,Australia,Asia-Pacific,Materials,Mining,2022,0.5,0.4,,,0.9,0.00047,1914.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,Gold mining,2024-01-01 to 2025-12-31
GHG0010,Iluka Resources,ILU,Australia,Asia-Pacific,Materials,Mining,2022,0.4,0.2,,,0.6000000000000001,0.000362,1658.0,GHG Protocol,NGER_2023/CDP_2023,True,2050.0,Mineral sands,2024-01-01 to 2025-12-31
GHG0011,Poseidon Nickel,POS.ASX,Australia,Asia-Pacific,Materials,Mining,2022,0.2,0.1,,,0.3,,,GHG Protocol,NGER_2023,False,,Small but included for diversity,2024-01-01 to 2025-12-31
